CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
C00001,56,M,47,29.8,1400.6,One Year,Credit Card,No
C00002,69,F,41,90.39,3705.99,Two Year,Mailed Check,Yes
C00003,46,F,26,53.79,1398.54,Two Year,Credit Card,Yes
C00004,32,F,51,51.0,2601.0,One Year,Mailed Check,No
C00005,60,F,41,113.25,4643.25,Two Year,Credit Card,Yes
C00006,25,F,31,44.85,1390.35,One Year,Electronic Check,Yes
C00007,78,F,25,84.25,2106.25,Month-to-Month,Bank Transfer,Yes
C00008,38,F,24,47.51,1140.24,One Year,Electronic Check,Yes
C00009,56,F,22,70.71,1555.62,Month-to-Month,Bank Transfer,Yes
C00010,75,F,56,98.63,5523.28,Month-to-Month,Bank Transfer,No
C00011,36,F,51,108.17,5516.67,Month-to-Month,Mailed Check,Yes
C00012,40,F,30,103.87,3116.1,Two Year,Electronic Check,Yes
C00013,28,F,63,78.22,4927.86,Two Year,Bank Transfer,No
C00014,28,F,70,44.88,3141.6,One Year,Credit Card,No
C00015,41,F,32,86.12,2755.84,Month-to-Month,Mailed Check,Yes
C00016,70,F,1,90.99,90.99,Month-to-Month,Mailed Check,No
C00017,53,F,17,21.07,358.19,Month-to-Month,Credit Card,Yes
C00018,57,M,46,63.92,2940.32,One Year,Credit Card,Yes
C00019,41,F,32,104.33,3338.56,Month-to-Month,Bank Transfer,Yes
C00020,20,M,34,68.96,2344.64,Month-to-Month,Credit Card,Yes
C00021,39,F,50,51.14,2557.0,Month-to-Month,Mailed Check,Yes
C00022,70,F,17,107.18,1822.06,Two Year,Credit Card,Yes
C00023,19,M,71,35.59,2526.89,Two Year,Electronic Check,No
C00024,41,F,29,40.64,1178.56,One Year,Mailed Check,Yes
C00025,61,M,43,88.74,3815.82,Month-to-Month,Credit Card,Yes
C00026,47,M,52,55.24,2872.48,Month-to-Month,Mailed Check,No
C00027,55,M,9,91.3,821.7,Month-to-Month,Bank Transfer,Yes
C00028,19,F,51,35.77,1824.27,Month-to-Month,Electronic Check,No
C00029,77,F,48,45.23,2171.04,Month-to-Month,Bank Transfer,Yes
C00030,38,F,10,35.66,356.6,Month-to-Month,Electronic Check,No
C00031,50,M,65,115.29,7493.85,Month-to-Month,Credit Card,Yes
C00032,29,M,57,60.54,3450.78,Month-to-Month,Mailed Check,No
C00033,75,F,35,53.72,1880.2,Month-to-Month,Credit Card,No
C00034,39,F,32,21.42,685.44,One Year,Bank Transfer,No
C00035,78,F,46,35.34,1625.64,Two Year,Mailed Check,No
C00036,61,F,12,62.11,745.32,Two Year,Credit Card,Yes
C00037,42,F,39,26.85,1047.15,Month-to-Month,Credit Card,No
C00038,66,M,67,71.07,4761.69,Month-to-Month,Mailed Check,No
C00039,44,M,41,65.5,2685.5,Two Year,Mailed Check,No
C00040,76,M,18,96.72,1740.96,Month-to-Month,Bank Transfer,Yes
C00041,59,F,18,85.98,1547.64,Two Year,Electronic Check,No
C00042,45,M,57,64.59,3681.63,One Year,Electronic Check,Yes
C00043,77,M,22,42.47,934.34,Two Year,Mailed Check,Yes
C00044,33,M,53,92.69,4912.57,Two Year,Electronic Check,Yes
C00045,32,M,64,90.79,5810.56,One Year,Bank Transfer,No
C00046,79,M,11,35.33,388.63,One Year,Electronic Check,Yes
C00047,79,F,23,111.48,2564.04,Month-to-Month,Mailed Check,No
C00048,64,M,33,26.44,872.52,Month-to-Month,Bank Transfer,Yes
C00049,79,F,52,25.5,1326.0,Month-to-Month,Mailed Check,Yes
C00050,68,F,7,38.74,271.18,Month-to-Month,Bank Transfer,No
C00051,61,F,17,110.95,1886.15,Month-to-Month,Bank Transfer,Yes
C00052,72,F,56,72.0,4032.0,Month-to-Month,Mailed Check,No
C00053,69,F,4,98.79,395.16,Two Year,Credit Card,Yes
C00054,74,M,25,42.78,1069.5,Month-to-Month,Mailed Check,No
C00055,20,M,29,69.02,2001.58,Month-to-Month,Bank Transfer,Yes
C00056,54,F,53,55.83,2958.99,Month-to-Month,Mailed Check,No
C00057,68,F,12,102.78,1233.36,One Year,Mailed Check,No
C00058,24,F,28,22.26,623.28,Month-to-Month,Bank Transfer,Yes
C00059,38,M,2,44.38,88.76,Two Year,Electronic Check,Yes
C00060,26,F,57,35.26,2009.82,One Year,Bank Transfer,No
C00061,56,M,1,105.92,105.92,One Year,Mailed Check,Yes
C00062,35,F,27,66.75,1802.25,Month-to-Month,Bank Transfer,No
C00063,21,M,1,60.42,60.42,Month-to-Month,Bank Transfer,No
C00064,42,F,6,64.95,389.7,Two Year,Electronic Check,Yes
C00065,77,M,25,117.19,2929.75,Month-to-Month,Credit Card,Yes
C00066,31,F,15,105.03,1575.45,Month-to-Month,Mailed Check,No
C00067,67,M,22,90.64,1994.08,Month-to-Month,Mailed Check,No
