CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,Churn
C00001,56,M,1,119.86,119.86,One Year,Credit Card,No
C00002,69,F,28,40.12,1123.36,Two Year,Mailed Check,Yes
C00003,46,F,6,72.32,433.92,One Year,Electronic Check,No
C00004,32,F,47,54.62,2567.14,Two Year,Electronic Check,No
C00005,60,M,36,72.59,2613.24,One Year,Bank Transfer,Yes
C00006,25,F,53,43.21,2290.13,Month-to-Month,Mailed Check,No
C00007,38,F,11,24.76,272.36,Two Year,Mailed Check,No
C00008,56,F,5,77.26,386.3,One Year,Electronic Check,No
C00009,36,M,50,53.59,2679.5,Two Year,Bank Transfer,No
C00010,40,M,24,38.19,916.56,Month-to-Month,Mailed Check,No
C00011,28,F,47,52.39,2462.33,One Year,Electronic Check,No
C00012,28,F,18,24.93,448.74,One Year,Electronic Check,No
C00013,41,F,20,115.04,2300.8,Two Year,Electronic Check,No
C00014,53,M,28,78.11,2187.08,Month-to-Month,Bank Transfer,No
C00015,57,M,13,101.48,1319.24,Month-to-Month,Bank Transfer,No
C00016,41,M,5,62.31,311.55,One Year,Electronic Check,No
C00017,20,F,30,110.33,3309.9,Two Year,Bank Transfer,Yes
C00018,39,M,1,68.33,68.33,One Year,Bank Transfer,No
C00019,19,F,22,77.39,1702.58,One Year,Bank Transfer,No
C00020,41,F,18,69.18,1245.24,Two Year,Bank Transfer,No
C00021,61,M,46,93.33,4293.18,Month-to-Month,Credit Card,No
C00022,47,F,5,76.67,383.35,One Year,Mailed Check,No
C00023,55,M,31,47.16,1461.96,One Year,Mailed Check,No
C00024,19,F,6,34.55,207.3,Two Year,Bank Transfer,No
C00025,38,F,27,80.61,2176.47,Two Year,Electronic Check,No
C00026,50,M,56,68.92,3859.52,One Year,Mailed Check,Yes
C00027,29,F,25,29.6,740.0,Month-to-Month,Bank Transfer,No
C00028,39,F,29,59.56,1727.24,Two Year,Mailed Check,Yes
C00029,61,F,28,71.48,2001.44,One Year,Electronic Check,Yes
C00030,42,F,16,102.69,1643.04,Month-to-Month,Bank Transfer,Yes
C00031,66,F,54,27.61,1490.94,Two Year,Electronic Check,No
C00032,44,F,53,54.85,2907.05,Two Year,Mailed Check,No
C00033,59,F,12,102.27,1227.24,One Year,Credit Card,Yes
C00034,45,F,20,84.84,1696.8,Two Year,Electronic Check,No
C00035,33,M,18,49.0,882.0,One Year,Bank Transfer,No
C00036,32,M,34,104.53,3554.02,Two Year,Bank Transfer,No
C00037,64,F,55,69.33,3813.15,Month-to-Month,Electronic Check,No
C00038,68,F,53,69.84,3701.52,Month-to-Month,Credit Card,No
C00039,61,M,23,117.66,2706.18,Two Year,Mailed Check,No
C00040,69,F,45,114.71,5161.95,One Year,Mailed Check,No
C00041,20,M,27,55.85,1507.95,Two Year,Mailed Check,No
C00042,54,M,49,34.06,1668.94,One Year,Mailed Check,No
C00043,68,M,17,52.57,893.69,Two Year,Mailed Check,No
C00044,24,F,48,23.05,1106.4,Month-to-Month,Bank Transfer,No
C00045,38,F,21,22.08,463.68,One Year,Bank Transfer,No
C00046,26,F,50,59.55,2977.5,Month-to-Month,Electronic Check,No
C00047,56,M,40,114.1,4564.0,Month-to-Month,Electronic Check,No
C00048,35,M,31,107.14,3321.34,Month-to-Month,Mailed Check,No
C00049,21,M,3,71.14,213.42,Two Year,Mailed Check,No
C00050,42,F,17,76.52,1300.84,One Year,Mailed Check,No
C00051,31,M,50,20.59,1029.5,Month-to-Month,Credit Card,No
C00052,67,M,58,41.55,2409.9,One Year,Electronic Check,No
C00053,26,F,26,22.48,584.48,One Year,Bank Transfer,No
C00054,43,M,23,95.45,2195.35,Month-to-Month,Mailed Check,No
C00055,19,M,6,34.56,207.36,Two Year,Electronic Check,Yes
C00056,37,F,28,106.9,2993.2,Month-to-Month,Credit Card,No
C00057,45,F,8,84.33,674.64,Month-to-Month,Credit Card,No
C00058,64,M,55,42.94,2361.7,One Year,Mailed Check,No
C00059,24,F,58,35.77,2074.66,Two Year,Bank Transfer,No
C00060,61,M,45,82.76,3724.2,One Year,Electronic Check,No
C00061,25,F,8,110.08,880.64,Two Year,Bank Transfer,No
C00062,64,M,19,91.84,1744.96,Month-to-Month,Mailed Check,No
C00063,52,F,38,54.85,2084.3,Two Year,Mailed Check,No
C00064,31,M,29,78.74,2283.46,One Year,Credit Card,Yes
C00065,34,F,23,51.08,1174.84,Month-to-Month,Credit Card,Yes
C00066,53,F,47,119.91,5635.77,Two Year,Electronic Check,No
C00067,67,F,32,94.88,3036.16,Two Year,Mailed Check,No
C00068,57,F,10,81.44,814.4,One Year,Mailed Check,No
C00069,21,F,27,62.33,1682.91,Two Year,Electronic Check,No
C00070,19,F,49,81.82,4009.18,Month-to-Month,Bank Transfer,Yes
C00071,23,F,1,54.16,54.16,Two Year,Credit Card,No
C00072,59,M,39,22.89,892.71,One Year,Mailed Check,No
C00073,21,M,29,59.51,1725.79,Two Year,Mailed Check,Yes
C00074,46,F,59,113.05,6669.95,Month-to-Month,Bank Transfer,Yes
C00075,35,F,45,82.63,3718.35,Month-to-Month,Bank Transfer,Yes
C00076,43,M,3,28.4,85.2,Two Year,Bank Transfer,Yes
C00077,61,M,51,108.5,5533.5,Two Year,Credit Card,No
C00078,51,F,47,46.89,2203.83,Month-to-Month,Electronic Check,No
C00079,27,M,37,44.38,1642.06,One Year,Mailed Check,No
C00080,53,M,31,49.71,1541.01,Month-to-Month,Credit Card,No
C00081,31,F,11,77.72,854.92,Two Year,Bank Transfer,No
C00082,48,F,22,74.47,1638.34,Two Year,Mailed Check,No
C00083,65,F,18,69.14,1244.52,One Year,Mailed Check,No
C00084,32,M,35,91.75,3211.25,Month-to-Month,Credit Card,Yes
C00085,25,F,6,51.65,309.9,Month-to-Month,Bank Transfer,Yes
C00086,31,F,3,98.21,294.63,One Year,Bank Transfer,No
C00087,40,M,5,37.53,187.65,Month-to-Month,Electronic Check,No
C00088,57,F,9,98.26,884.34,One Year,Bank Transfer,No
C00089,38,M,28,86.38,2418.64,Month-to-Month,Credit Card,Yes
C00090,33,M,19,88.32,1678.08,One Year,Electronic Check,No
C00091,62,M,28,68.16,1908.48,One Year,Electronic Check,No
C00092,35,M,27,86.7,2340.9,One Year,Electronic Check,Yes
C00093,64,M,13,27.98,363.74,Two Year,Electronic Check,No
C00094,41,M,38,105.16,3996.08,Two Year,Electronic Check,No
C00095,43,F,43,25.55,1098.65,Two Year,Credit Card,No
C00096,42,F,53,34.87,1848.11,Month-to-Month,Mailed Check,No
C00097,62,F,21,77.68,1631.28,One Year,Bank Transfer,No
C00098,58,M,27,93.94,2536.38,Month-to-Month,Mailed Check,No
C00099,46,F,46,27.63,1270.98,Month-to-Month,Mailed Check,No
C00100,32,M,6,112.08,672.48,One Year,Bank Transfer,No
C00101,62,F,38,117.36,4459.68,Two Year,Bank Transfer,Yes
C00102,18,M,49,80.6,3949.4,Month-to-Month,Mailed Check,No
C00103,42,F,11,68.12,749.32,Month-to-Month,Bank Transfer,No
C00104,24,M,47,94.14,4424.58,Month-to-Month,Electronic Check,Yes
C00105,26,F,41,52.84,2166.44,Two Year,Bank Transfer,Yes
C00106,41,M,53,69.33,3674.49,One Year,Bank Transfer,No
C00107,18,F,17,111.62,1897.54,One Year,Electronic Check,Yes
C00108,61,M,56,115.57,6471.92,Month-to-Month,Electronic Check,No
C00109,25,F,39,112.71,4395.69,One Year,Electronic Check,Yes
C00110,41,F,7,46.24,323.68,Two Year,Bank Transfer,Yes
C00111,28,F,30,43.25,1297.5,One Year,Electronic Check,No
C00112,68,M,21,49.77,1045.17,Month-to-Month,Electronic Check,No
C00113,34,M,1,64.13,64.13,Month-to-Month,Credit Card,No
C00114,25,M,25,51.42,1285.5,One Year,Credit Card,No
C00115,52,M,32,57.42,1837.44,Month-to-Month,Bank Transfer,Yes
C00116,52,M,59,82.06,4841.54,Two Year,Electronic Check,No
C00117,50,F,57,96.25,5486.25,Two Year,Bank Transfer,Yes
C00118,22,M,8,93.56,748.48,Two Year,Credit Card,No
C00119,59,F,5,101.44,507.2,Two Year,Credit Card,No
